X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0918683657727,38.8894021268133,43358827,38.889396,-77.091862,Wilson Blvd & N Edgewood St,classic,134,active,2022/06/28 21:29:24+00,10,0,5,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0436837531382,38.9206800630821,43358828,38.920669,-77.04368,Columbia Rd & Belmont St NW,classic,135,active,2022/06/28 22:53:53+00,7,0,12,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0398009662114,38.9060068653016,43358829,38.905996,-77.039802,Rhode Island & Connecticut Ave NW,classic,136,active,2022/06/28 22:49:20+00,21,1,0,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0325029594287,38.9059100317936,43358830,38.9059,-77.0325,Thomas Circle,classic,137,active,2022/06/28 23:03:27+00,21,0,10,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,33,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.08890730721,38.8904043484712,43358831,38.8904,-77.0889,Wilson Blvd & N Franklin Rd,classic,138,active,2022/06/28 17:45:47+00,12,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0930769534621,38.8881039628384,43358832,38.8881,-77.09308,Clarendon Blvd & N Fillmore St,classic,139,active,2022/06/28 22:46:31+00,12,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0952539746081,38.8870212015171,43358833,38.88701,-77.095257,Clarendon Metro / Wilson Blvd & N Highland St,classic,140,active,2022/06/28 21:47:23+00,21,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,21,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0415381924598,38.8996914025609,43358834,38.89968,-77.041539,18th St & Pennsylvania Ave NW,classic,141,active,2022/06/28 22:40:20+00,26,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.017706211135,38.886383072683,43358835,38.886372,-77.017701,4th & C St SW,classic,142,active,2022/06/28 23:09:04+00,35,0,4,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,39,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0174520883137,38.8841310149479,43358836,38.88412,-77.017445,4th & E St SW,classic,143,active,2022/06/28 22:45:38+00,12,0,7,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0018347823605,38.8811955702332,43358837,38.881185,-77.001828,3rd & G St SE,classic,144,active,2022/06/28 22:08:00+00,6,0,13,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0221518979098,38.912722762215,43358838,38.912719,-77.022155,7th & R St NW / Shaw Library,classic,145,active,2022/06/28 23:10:23+00,4,0,11,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0251023505726,38.9418100163815,43358839,38.9418,-77.0251,9th & Upshur St NW,classic,146,active,2022/06/28 22:52:06+00,11,0,4,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0122939987565,38.9154267166611,43358840,38.915417,-77.012289,1st & Rhode Island Ave NW,classic,147,active,2022/06/28 23:09:40+00,2,0,12,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0237943331946,38.9281266785113,43358841,38.928121,-77.023795,Columbia Rd & Georgia Ave NW,classic,148,active,2022/06/28 22:53:40+00,18,0,9,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
